"DE_50hertz_wind_generation","DE_50hertz_wind_generation_forecast","date"
1998.04166666667,1750.58333333333,"2009-08-12"
1716,1971.20833333333,"2009-08-13"
797.958333333333,627.625,"2009-08-14"
1214.75,706.208333333333,"2009-08-15"
1536.41666666667,1818.16666666667,"2009-08-16"
1072.04166666667,939,"2009-08-17"
1384.25,1183.875,"2009-08-18"
739.666666666667,476.5,"2009-08-19"
2199.58333333333,1844.375,"2009-08-20"
861.541666666667,862.916666666667,"2009-08-21"
355.041666666667,515.083333333333,"2009-08-22"
764.375,365.208333333333,"2009-08-23"
2625.5,1948.25,"2009-08-24"
760.458333333333,1001.29166666667,"2009-08-25"
469.291666666667,457.916666666667,"2009-08-26"
668.083333333333,420.333333333333,"2009-08-27"
2029.91666666667,1818.125,"2009-08-28"
2543.91666666667,2224.5,"2009-08-29"
2010.04166666667,1501.83333333333,"2009-08-30"
1117.29166666667,725.208333333333,"2009-08-31"
2104.625,1687.95833333333,"2009-09-01"
820.333333333333,889.916666666667,"2009-09-02"
3289.54166666667,3059.33333333333,"2009-09-03"
3693.16666666667,2934.125,"2009-09-04"
5564.70833333333,5315.58333333333,"2009-09-05"
2462.875,2286.83333333333,"2009-09-06"
536.208333333333,389.416666666667,"2009-09-07"
901.166666666667,610.625,"2009-09-08"
670.75,598,"2009-09-09"
965.166666666667,892.416666666667,"2009-09-10"
756.708333333333,786.416666666667,"2009-09-11"
579.041666666667,511,"2009-09-12"
1662.125,1373.875,"2009-09-13"
2008.375,2114.875,"2009-09-14"
2138.95833333333,2043.45833333333,"2009-09-15"
1246.25,1013.5,"2009-09-16"
790.458333333333,750.041666666667,"2009-09-17"
807.458333333333,634.416666666667,"2009-09-18"
1103.41666666667,1075.45833333333,"2009-09-19"
271.041666666667,263.333333333333,"2009-09-20"
308.416666666667,296.041666666667,"2009-09-21"
1360.91666666667,1125.91666666667,"2009-09-22"
2022.25,1684.58333333333,"2009-09-23"
1103.58333333333,1175.08333333333,"2009-09-24"
554.916666666667,454.208333333333,"2009-09-25"
212.666666666667,235.208333333333,"2009-09-26"
265.291666666667,329.916666666667,"2009-09-27"
2398.45833333333,2356.25,"2009-09-28"
2678.83333333333,2221.95833333333,"2009-09-29"
928.875,823.833333333333,"2009-09-30"
3851.04166666667,3840.33333333333,"2009-10-01"
2280.83333333333,2085.29166666667,"2009-10-02"
5472.83333333333,4231.58333333333,"2009-10-03"
6527.625,6224.25,"2009-10-04"
1307.83333333333,1318.75,"2009-10-05"
1274.75,1505.66666666667,"2009-10-06"
2923.95833333333,3028.25,"2009-10-07"
2099.875,1595.375,"2009-10-08"
1117.04166666667,714.25,"2009-10-09"
1429.625,1321.58333333333,"2009-10-10"
1762.375,2033.54166666667,"2009-10-11"
3398.04166666667,3380.08333333333,"2009-10-12"
2419.16666666667,2393.33333333333,"2009-10-13"
4297.66666666667,4467.33333333333,"2009-10-14"
3334.66666666667,3623.79166666667,"2009-10-15"
2222.41666666667,2417.16666666667,"2009-10-16"
1015.04166666667,1079.91666666667,"2009-10-17"
587.375,522.75,"2009-10-18"
761.541666666667,505.083333333333,"2009-10-19"
1196.5,1174.70833333333,"2009-10-20"
1291.625,1464.33333333333,"2009-10-21"
1595.16666666667,1575.66666666667,"2009-10-22"
108.583333333333,270.125,"2009-10-23"
564.541666666667,352.458333333333,"2009-10-24"
1642.54166666667,1660.16666666667,"2009-10-25"
2428,2624.91666666667,"2009-10-26"
1151.04166666667,1209.375,"2009-10-27"
176.208333333333,184.541666666667,"2009-10-28"
466.875,471.5,"2009-10-29"
787.458333333333,599.5,"2009-10-30"
883.083333333333,744.375,"2009-10-31"
2646.58333333333,2417.91666666667,"2009-11-01"
2062.54166666667,2207.04166666667,"2009-11-02"
1297.125,1159.125,"2009-11-03"
3190,3161.66666666667,"2009-11-04"
2476.75,1945.25,"2009-11-05"
2134.83333333333,1591.79166666667,"2009-11-06"
1734.20833333333,1157.16666666667,"2009-11-07"
666.875,729.625,"2009-11-08"
1426.91666666667,1469.45833333333,"2009-11-09"
523.875,363.041666666667,"2009-11-10"
535.166666666667,371.875,"2009-11-11"
749.333333333333,604.833333333333,"2009-11-12"
2147.70833333333,1384.04166666667,"2009-11-13"
3265.25,2827.83333333333,"2009-11-14"
2235.66666666667,1562.29166666667,"2009-11-15"
1450.625,1353.45833333333,"2009-11-16"
1815.75,1718,"2009-11-17"
6859.45833333333,5719.75,"2009-11-18"
4298.41666666667,3643.41666666667,"2009-11-19"
3679.75,3046,"2009-11-20"
1586.83333333333,1371.91666666667,"2009-11-21"
3725.95833333333,3447.04166666667,"2009-11-22"
7140.25,6837.33333333333,"2009-11-23"
